Positive offset of 08-1735 (time: 6:06, m?: false) (scrape: 100, official: 128): 28
Positive offset of 08-2116 (time: 6:03, m?: false) (scrape: 63, official: 71): 8
Positive offset of 08-0744 (time: 5:28, m?: false) (scrape: 94, official: 102): 8
Positive offset of 08-0914 (time: 5:53, m?: false) (scrape: 152, official: 160): 8
Positive offset of 08-1877 (time: 5:58, m?: false) (scrape: 92, official: 100): 8
Positive offset of 08-1736 (time: 6:06, m?: false) (scrape: 125, official: 133): 8
Positive offset of 08-1844 (time: 5:54, m?: false) (scrape: 122, official: 130): 8
Positive offset of 08-1758 (time: 5:30, m?: false) (scrape: 153, official: 161): 8
Positive offset of 08-0347 (time: 5:39, m?: false) (scrape: 119, official: 127): 8
Positive offset of 08-1843 (time: 5:59, m?: false) (scrape: 129, official: 137): 8
Positive offset of 08-3496 (time: 5:10, m?: false) (scrape: 66, official: 74): 8
Positive offset of 08-3492 (time: 5:10, m?: false) (scrape: 69, official: 77): 8
Positive offset of 08-1882 (time: 5:40, m?: false) (scrape: 157, official: 165): 8
Positive offset of 08-1778 (time: 6:05, m?: false) (scrape: 140, official: 148): 8
Positive offset of 08-1566 (time: 5:47, m?: false) (scrape: 111, official: 119): 8
Positive offset of 08-0308 (time: 5:55, m?: false) (scrape: 166, official: 174): 8
Positive offset of 08-2278 (time: 5:50, m?: false) (scrape: 77, official: 85): 8
Positive offset of 08-1365 (time: 0:22, m?: false) (scrape: 22, official: 30): 8
Positive offset of 08-2667 (time: 5:46, m?: false) (scrape: 109, official: 117): 8
Positive offset of 08-2277 (time: 5:55, m?: false) (scrape: 77, official: 85): 8
Positive offset of 08-0124 (time: 4:04, m?: false) (scrape: 148, official: 156): 8
Positive offset of 08-2638 (time: 5:54, m?: false) (scrape: 150, official: 158): 8
Positive offset of 08-0463 (time: 5:57, m?: false) (scrape: 126, official: 134): 8
Positive offset of 08-2925 (time: 5:45, m?: false) (scrape: 83, official: 91): 8
Positive offset of 08-0096 (time: 5:59, m?: false) (scrape: 172, official: 180): 8
Positive offset of 08-1731 (time: 5:32, m?: false) (scrape: 109, official: 117): 8
Positive offset of 08-2946 (time: 4:01, m?: false) (scrape: 82, official: 90): 8
Positive offset of 08-0098 (time: 5:54, m?: false) (scrape: 156, official: 164): 8
Positive offset of 08-2596 (time: 5:44, m?: false) (scrape: 140, official: 148): 8
Positive offset of 08-0689 (time: 3:59, m?: false) (scrape: 146, official: 154): 8
Positive offset of 08-0819 (time: 5:40, m?: true) (scrape: 149, official: 157): 8
Positive offset of 08-0818 (time: 5:46, m?: false) (scrape: 160, official: 168): 8
Positive offset of 08-1254 (time: 5:58, m?: false) (scrape: 161, official: 169): 8
Positive offset of 08-0024 (time: 6:08, m?: false) (scrape: 156, official: 164): 8
Positive offset of 08-0990 (time: 5:49, m?: false) (scrape: 130, official: 138): 8
Positive offset of 08-1791 (time: 5:52, m?: false) (scrape: 168, official: 176): 8
Positive offset of 08-0471 (time: 4:13, m?: true) (scrape: 105, official: 118): 13
Positive offset of 08-2747 (time: 4:40, m?: false) (scrape: 76, official: 84): 8
Positive offset of 08-0338 (time: 5:38, m?: false) (scrape: 174, official: 182): 8
Positive offset of 08-0337 (time: 5:49, m?: false) (scrape: 181, official: 189): 8
Positive offset of 08-2211 (time: 6:01, m?: false) (scrape: 40, official: 48): 8
Positive offset of 08-2198 (time: 5:41, m?: false) (scrape: 68, official: 76): 8
Positive offset of 08-2271 (time: 5:57, m?: false) (scrape: 159, official: 167): 8
Positive offset of 08-0336 (time: 5:45, m?: false) (scrape: 181, official: 189): 8
Positive offset of 08-1630 (time: 7:14, m?: false) (scrape: 92, official: 100): 8
Positive offset of 08-0339 (time: 5:15, m?: false) (scrape: 137, official: 145): 8
Positive offset of 08-0358 (time: 5:49, m?: false) (scrape: 171, official: 179): 8
Positive offset of 08-1849 (time: 5:46, m?: false) (scrape: 171, official: 179): 8
Positive offset of 08-0110 (time: 5:54, m?: false) (scrape: 140, official: 148): 8
Positive offset of 08-3459 (time: 5:04, m?: false) (scrape: 119, official: 127): 8
Positive offset of 08-0107 (time: 5:59, m?: false) (scrape: 153, official: 161): 8
Positive offset of 08-0108 (time: 5:59, m?: false) (scrape: 154, official: 162): 8
Positive offset of 08-3314 (time: 4:39, m?: false) (scrape: 74, official: 82): 8
Positive offset of 08-0038 (time: 5:44, m?: false) (scrape: 153, official: 161): 8
Positive offset of 08-1780 (time: 5:50, m?: false) (scrape: 112, official: 120): 8
Positive offset of 08-1394 (time: 5:50, m?: false) (scrape: 164, official: 172): 8
Positive offset of 08-1205 (time: 5:41, m?: false) (scrape: 169, official: 177): 8
Positive offset of 08-1395 (time: 5:46, m?: false) (scrape: 148, official: 156): 8
Positive offset of 08-1397 (time: 5:32, m?: false) (scrape: 158, official: 171): 13
Positive offset of 08-2053 (time: 5:30, m?: false) (scrape: 120, official: 128): 8
Positive offset of 08-2589 (time: 5:28, m?: false) (scrape: 151, official: 159): 8
Positive offset of 08-1396 (time: 5:30, m?: false) (scrape: 143, official: 151): 8
Positive offset of 08-1247 (time: 5:48, m?: false) (scrape: 101, official: 109): 8
Positive offset of 08-2602 (time: 6:05, m?: false) (scrape: 66, official: 74): 8
Positive offset of 08-1572 (time: 5:58, m?: false) (scrape: 168, official: 176): 8
Positive offset of 08-2420 (time: 5:57, m?: false) (scrape: 129, official: 137): 8
Positive offset of 08-2419 (time: 5:57, m?: false) (scrape: 142, official: 150): 8
Positive offset of 08-2414 (time: 6:00, m?: false) (scrape: 145, official: 153): 8
Positive offset of 08-1575 (time: 5:57, m?: false) (scrape: 122, official: 130): 8
Positive offset of 08-0034 (time: 1:28, m?: false) (scrape: 134, official: 175): 41
Positive offset of 08-3071 (time: 4:17, m?: false) (scrape: 28, official: 36): 8
Positive offset of 08-2033 (time: 4:15, m?: false) (scrape: 34, official: 42): 8
Positive offset of 08-0879 (time: 8:25, m?: false) (scrape: 138, official: 146): 8
Positive offset of 08-2017 (time: 5:05, m?: false) (scrape: 119, official: 127): 8
Positive offset of 08-1524 (time: 5:49, m?: false) (scrape: 108, official: 116): 8
Positive offset of 08-2904 (time: 5:52, m?: false) (scrape: 106, official: 114): 8
Negative offset of 08-0197 (time: 19:02, m?: false) (scrape: 42, official: 8): -34
Positive offset of 08-0188 (time: 5:47, m?: false) (scrape: 126, official: 134): 8
Positive offset of 08-2696 (time: 5:53, m?: false) (scrape: 129, official: 137): 8
Positive offset of 08-0029 (time: 5:40, m?: false) (scrape: 76, official: 84): 8
Positive offset of 08-0782 (time: 2:01, m?: false) (scrape: 76, official: 84): 8
Positive offset of 08-2216 (time: 5:28, m?: false) (scrape: 103, official: 111): 8
Positive offset of 08-2840 (time: 5:03, m?: false) (scrape: 124, official: 132): 8
Positive offset of 08-0420 (time: 2:40, m?: false) (scrape: 97, official: 105): 8
Positive offset of 08-2219 (time: 4:51, m?: false) (scrape: 123, official: 131): 8
Negative offset of 08-1880 (time: 5:18, m?: false) (scrape: 92, official: 50): -42
Positive offset of 08-2440 (time: 5:28, m?: false) (scrape: 84, official: 92): 8
Positive offset of 08-2565 (time: 5:52, m?: false) (scrape: 162, official: 170): 8
Positive offset of 08-1965 (time: 4:28, m?: false) (scrape: 78, official: 86): 8
Positive offset of 08-0264 (time: 4:44, m?: false) (scrape: 145, official: 153): 8
Positive offset of 08-1213 (time: 5:55, m?: false) (scrape: 142, official: 150): 8
Positive offset of 08-0533 (time: 4:59, m?: false) (scrape: 112, official: 125): 13
Positive offset of 08-1544 (time: 5:34, m?: false) (scrape: 97, official: 105): 8
Positive offset of 08-1545 (time: 5:35, m?: false) (scrape: 137, official: 145): 8
