2018-07-31 00:30:45 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2018-07-31 00:30:45 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2018-07-31 00:30:45 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2018-07-31 00:30:45 install libdb5.3:amd64 <none> 5.3.28-11
2018-07-31 00:30:45 status half-installed libdb5.3:amd64 5.3.28-11
2018-07-31 00:30:45 status unpacked libdb5.3:amd64 5.3.28-11
2018-07-31 00:30:45 status unpacked libdb5.3:amd64 5.3.28-11
2018-07-31 00:30:45 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2018-07-31 00:30:45 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2018-07-31 00:30:45 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2018-07-31 00:30:45 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2018-07-31 00:30:45 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2018-07-31 00:30:45 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2018-07-31 00:30:45 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2018-07-31 00:30:45 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2018-07-31 00:30:45 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2018-07-31 00:30:45 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:45 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:45 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:45 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2018-07-31 00:30:45 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2018-07-31 00:30:45 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2018-07-31 00:30:45 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2018-07-31 00:30:45 install libgcrypt20:amd64 <none> 1.6.5-2
2018-07-31 00:30:45 status half-installed libgcrypt20:amd64 1.6.5-2
2018-07-31 00:30:45 status unpacked libgcrypt20:amd64 1.6.5-2
2018-07-31 00:30:45 status unpacked libgcrypt20:amd64 1.6.5-2
2018-07-31 00:30:45 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2018-07-31 00:30:45 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2018-07-31 00:30:46 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2018-07-31 00:30:46 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2018-07-31 00:30:46 install libkmod2:amd64 <none> 22-1ubuntu4
2018-07-31 00:30:46 status half-installed libkmod2:amd64 22-1ubuntu4
2018-07-31 00:30:46 status unpacked libkmod2:amd64 22-1ubuntu4
2018-07-31 00:30:46 status unpacked libkmod2:amd64 22-1ubuntu4
2018-07-31 00:30:46 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2018-07-31 00:30:46 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2018-07-31 00:30:46 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2018-07-31 00:30:46 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2018-07-31 00:30:46 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2018-07-31 00:30:46 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:46 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:46 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2018-07-31 00:30:46 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2018-07-31 00:30:46 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2018-07-31 00:30:46 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:46 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2018-07-31 00:30:46 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
