team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-0252,TX,5:53,148,156,false,false,8
08-1866,FL,5:51,125,133,false,false,8
08-1826,TX,5:55,138,146,false,false,8
08-2849,TX,5:41,98,106,false,false,8
08-1574,TX,5:54,149,157,false,false,8
08-0249,FL,5:48,150,163,false,false,13
08-2273,AL,5:37,118,126,false,false,8
08-1864,FL,5:58,159,167,false,false,8
08-0808,VA,4:23,63,71,false,false,8
08-0251,TX,5:25,156,169,false,false,13
08-2714,VA,4:34,66,74,false,false,8
08-2530,TX,3:58,112,120,false,false,8
08-1944,AL,6:06,131,139,false,true,8
08-1878,TX,5:51,171,179,false,false,8
08-2920,AL,6:23,117,122,false,true,5
08-1777,NV,6:13,146,147,false,true,1
08-1879,TX,5:52,163,171,false,false,8
08-3349,TX,5:53,186,194,false,false,8
08-0103,TX,30:06,133,141,false,true,8
08-1562,IA,5:39,102,115,false,false,13
08-1149,AL,5:58,177,185,false,false,8
08-0253,TX,5:52,160,168,false,false,8
08-2463,AL,5:59,170,178,false,false,8
08-2921,AL,6:26,140,128,true,false,-12
08-0920,VA,5:02,68,76,false,false,8
08-0842,OK,5:23,110,118,false,false,8
08-2019,TX,3:50,90,98,false,false,8
08-2376,TX,6:00,160,168,false,false,8
08-0850,PA,5:57,119,127,false,false,8
08-1456,AZ,5:55,135,143,false,false,8
08-0843,OK,5:07,126,134,false,false,8
08-1619,VA,4:39,134,142,false,false,8
08-0919,VA,5:01,22,30,false,false,8
08-2690,AL,5:48,103,111,false,false,8
08-1455,AZ,5:59,139,147,false,false,8
08-0844,OK,5:10,156,164,false,false,8
08-0871,AR,5:39,165,173,false,false,8
08-0845,OK,4:56,61,69,false,false,8
08-0937,AR,5:32,148,156,false,false,8
08-2537,CAN,5:16,158,166,false,false,8
08-2790,AL,5:31,119,127,false,false,8
08-2001,MD,3:52,143,151,false,false,8
08-2789,AL,5:57,112,120,false,false,8
08-0939,AR,5:22,175,183,false,false,8
08-2186,IA,10:04,131,139,false,true,8
08-0870,AR,5:30,150,158,false,false,8
08-2850,TX,5:18,110,118,false,false,8
08-0127,TX,5:33,160,168,false,false,8
08-0938,AR,5:14,175,183,false,false,8
08-2133,NY,4:23,97,105,false,false,8
08-3304,IA,4:38,57,65,false,false,8
08-2083,TX,5:30,138,146,false,false,8
08-1740,TX,5:26,89,97,false,false,8
08-0866,WI,5:49,136,144,false,false,8
08-1818,TX,4:43,165,173,false,false,8
08-1886,ME,5:58,186,194,false,false,8
08-2096,MD,5:10,177,185,false,false,8
08-0241,MT,5:53,141,149,false,false,8
08-1738,TX,5:15,118,126,false,false,8
08-0296,OK,4:33,61,69,false,false,8
08-1781,NV,6:41,109,117,false,true,8
08-3483,AL,4:36,138,146,false,false,8
08-0553,TX,5:57,172,180,false,false,8
08-2331,MD,6:04,130,138,false,true,8
08-1434,TX,5:28,200,180,true,false,-20
08-1906,CO,5:43,130,138,false,false,8
08-2167,ME,5:33,175,183,false,false,8
08-2992,SC,3:58,116,124,false,false,8
08-3002,SC,4:16,118,126,false,false,8
08-2165,ME,5:55,159,167,false,false,8
08-2995,SC,4:00,118,126,false,false,8
08-0527,MA,5:33,173,181,false,false,8
08-0890,AL,4:59,181,189,false,false,8
08-1065,TX,5:29,160,168,false,false,8
08-0918,VA,5:32,46,54,false,false,8
08-2250,PA,5:56,181,189,false,false,8
08-0099,PA,5:54,179,187,false,false,8
08-3195,CA,2:23,68,76,false,false,8
08-2308,TX,4:37,141,149,false,false,8
08-1409,CA,5:58,81,89,false,false,8
08-2106,CA,5:52,137,145,false,false,8
08-0141,OH,4:45,170,178,false,false,8
08-2309,TX,4:31,96,104,false,false,8
08-2072,CA,6:57,67,75,false,true,8
08-0207,CA,5:57,146,154,false,false,8
08-2276,CAN,4:37,135,143,false,false,8
08-2205,CA,6:01,181,189,false,true,8
08-0542,AK,5:43,171,179,false,false,8
08-3306,MD,5:40,108,116,false,false,8
08-0456,WA,4:56,42,50,true,false,8
08-1326,CO,20:24,65,169,false,true,104
08-1811,DE,5:30,120,128,false,false,8
08-0655,FL,5:14,158,166,false,false,8
08-2543,FL,5:09,151,159,false,false,8
08-1810,DE,5:23,147,155,false,false,8
08-0398,TX,5:37,53,66,false,false,13
08-1999,CA,5:49,118,126,false,false,8
08-2588,MD,4:25,102,110,false,false,8
08-1813,DE,2:05,47,55,false,false,8
08-2585,MD,4:05,94,102,false,false,8
08-2584,MD,3:53,72,80,false,false,8
08-0109,CA,5:57,140,148,false,false,8
08-3191,CA,1:33,33,41,false,false,8
08-3324,WA,3:56,96,109,false,false,13
08-0193,OH,5:57,163,171,false,false,8
08-1320,AL,2:52,153,161,false,false,8
08-1272,AL,4:16,163,171,false,false,8
08-1386,MD,5:52,152,160,false,false,8
08-1466,OH,5:59,176,184,false,false,8
08-1315,AL,5:07,148,156,false,false,8
08-2896,LA,5:21,146,154,false,false,8
08-0457,WA,3:49,93,101,false,false,8
08-0626,TX,5:19,97,105,false,false,8
08-0534,SC,5:56,132,140,false,false,8
08-2068,MD,5:56,184,196,false,false,12
08-3434,TX,4:48,37,45,false,false,8
08-1991,MD,5:41,196,183,false,false,-13
08-1366,AZ,4:06,174,182,false,false,8
08-1471,AZ,5:08,132,140,false,false,8
08-3255,FL,3:23,86,94,false,false,8
08-3010,WI,3:17,134,142,false,false,8
08-1056,TX,5:37,166,174,false,false,8
08-1812,DE,2:26,50,58,false,false,8
08-2820,FL,4:05,175,183,false,false,8
08-1057,TX,5:17,149,157,false,false,8
08-2125,VA,4:08,71,79,false,false,8
08-3193,CA,0:54,50,58,false,false,8
08-2126,VA,4:02,61,69,false,false,8
08-2124,VA,3:57,61,69,false,false,8
08-1058,TX,7:59,117,125,false,true,8
08-2156,VA,5:57,133,141,false,false,8
08-2154,VA,5:52,175,183,false,false,8
08-2153,VA,5:43,121,129,false,false,8
08-1720,ME,5:29,117,125,false,false,8
08-0599,CT,6:02,142,150,false,true,8
08-2886,OH,3:13,137,145,false,false,8
08-2079,CA,3:40,164,172,false,false,8
08-2078,CA,3:39,156,164,false,false,8
08-2880,OH,1:29,85,93,false,false,8
08-0455,WA,3:05,88,96,false,false,8
08-0508,NC,5:57,182,190,false,false,8
08-0510,NC,5:54,182,190,false,false,8
08-0509,NC,5:54,182,190,true,false,8
08-1766,NC,5:55,175,183,false,false,8
08-2407,MA,6:02,134,122,true,false,-12
08-2225,CA,5:43,174,182,false,false,8
08-0891,VA,5:22,149,157,false,false,8
08-0742,afjrotc,5:07,92,50,false,false,-42
08-0429,NE,5:50,151,159,false,false,8
08-2987,MD,5:20,158,166,false,false,8
08-0427,NE,5:39,120,128,false,false,8
08-2119,MD,5:51,133,141,false,false,8
08-1789,NJ,5:54,110,118,false,false,8
08-2129,NJ,5:47,164,172,false,false,8
08-0426,NE,5:39,90,98,false,false,8
08-1333,MD,5:44,138,146,false,false,8
08-1599,PA,5:56,150,158,false,false,8
08-1237,GA,3:43,146,154,false,false,8
08-2586,VA,5:45,170,178,false,false,8
08-0496,VA,5:38,186,194,false,false,8
08-1952,AL,5:54,147,155,false,false,8
08-0892,VA,4:26,152,160,false,false,8
08-1790,TN,3:55,135,143,false,false,8
08-3154,TN,3:47,134,142,false,false,8
08-1294,GA,3:23,119,127,false,false,8
08-0515,VA,5:37,141,149,false,false,8
08-1223,GA,3:40,134,142,false,false,8
08-0520,VA,5:33,127,135,false,false,8
08-2889,VA,5:55,83,91,false,false,8
08-0495,VA,5:42,162,170,false,false,8
08-3383,VA,6:11,120,112,false,true,-8
08-2478,NY,8:08,47,0,true,false,-47
08-1824,OH,5:56,126,134,false,false,8
08-0816,IN,6:01,171,179,false,true,8
08-1783,IN,5:59,171,179,false,false,8
08-2160,MD,4:54,156,164,false,false,8
08-2742,VA,5:31,140,153,false,false,13
08-2744,VA,5:24,86,94,false,false,8
08-1681,TX,3:04,148,156,false,false,8
08-2326,CA,5:46,182,190,false,false,8
08-2887,VA,6:01,119,127,false,true,8
08-0368,VA,5:24,86,94,false,false,8
08-1933,VA,5:40,76,84,false,false,8
08-2372,MI,5:46,118,126,false,false,8
08-1225,SC,4:37,155,168,false,false,13
08-3422,NY,5:55,88,96,false,false,8
08-2743,VA,5:11,128,136,false,false,8
08-1840,TX,1:30,51,59,false,false,8
08-2171,MI,5:33,142,150,true,false,8
08-2040,WI,4:12,125,133,false,false,8
08-3014,AL,5:31,136,144,false,false,8
08-3217,VA,4:21,134,142,false,false,8
08-0351,VA,5:02,68,76,false,false,8
08-3039,DE,5:57,128,136,false,false,8
08-0981,VA,5:44,167,175,false,false,8
08-0620,TN,5:51,160,168,false,false,8
08-0371,TN,5:46,159,167,false,false,8
08-2981,VA,5:46,181,189,false,false,8
08-2307,NC,3:59,147,155,false,false,8
08-1255,DE,5:49,140,148,false,false,8
08-2306,NC,3:52,46,54,false,false,8
08-0978,VA,5:41,192,200,false,false,8
08-2798,CO,5:59,152,160,false,false,8
08-0565,WI,5:50,169,177,false,false,8
08-3167,IL,5:57,130,143,false,false,13
08-0428,NE,4:57,76,84,false,false,8
08-2594,MI,3:56,166,174,false,false,8
08-3176,IL,6:00,158,171,false,false,13
08-3172,IL,5:55,163,171,false,false,8
08-1491,DC,3:22,80,88,false,false,8
08-0125,WA,5:56,170,178,false,false,8
