team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-1396,afjrotc,5:30,143,151,false,false,8
08-1247,njrotc,5:48,101,109,false,false,8
08-2602,afjrotc,6:05,66,74,false,true,8
08-1572,njrotc,5:58,168,176,false,false,8
08-2420,njrotc,5:57,129,137,false,false,8
08-2419,njrotc,5:57,142,150,false,false,8
08-2414,njrotc,6:00,145,153,false,false,8
08-1575,njrotc,5:57,122,130,false,false,8
08-0034,ajrotc,1:28,134,175,false,false,41
08-3071,njrotc,4:17,28,36,false,false,8
08-2033,njrotc,4:15,34,42,false,false,8
08-0879,njrotc,8:25,138,146,false,true,8
08-2017,ajrotc,5:05,119,127,false,false,8
08-1524,mcjrotc,5:49,108,116,false,false,8
08-2904,ajrotc,5:52,106,114,false,false,8
08-0197,cap,19:02,42,8,false,true,-34
08-0188,cap,5:47,126,134,false,false,8
08-2696,ajrotc,5:53,129,137,false,false,8
08-0029,mcjrotc,5:40,76,84,false,false,8
08-0782,njrotc,2:01,76,84,false,false,8
08-2216,njrotc,5:28,103,111,false,false,8
08-2840,afjrotc,5:03,124,132,false,false,8
08-0420,ajrotc,2:40,97,105,false,false,8
08-2219,njrotc,4:51,123,131,false,false,8
08-1880,afjrotc,5:18,92,50,false,false,-42
08-2440,afjrotc,5:28,84,92,false,false,8
08-2565,ajrotc,5:52,162,170,false,false,8
08-1965,mcjrotc,4:28,78,86,false,false,8
08-0264,njrotc,4:44,145,153,false,false,8
08-1213,njrotc,5:55,142,150,false,false,8
08-0533,njrotc,4:59,112,125,false,false,13
08-1544,njrotc,5:34,97,105,false,false,8
08-1545,njrotc,5:35,137,145,false,false,8
08-1546,njrotc,5:36,130,118,true,false,-12
08-0445,mcjrotc,5:58,149,187,false,false,38
08-1793,mcjrotc,5:49,92,157,false,false,65
08-3138,cap,2:31,56,64,false,false,8
08-0794,afjrotc,6:02,163,171,false,true,8
08-1613,afjrotc,5:57,146,154,false,false,8
08-1742,mcjrotc,5:56,147,155,false,false,8
08-2070,mcjrotc,5:56,144,152,false,false,8
08-2000,njrotc,5:25,119,127,false,false,8
08-2002,njrotc,5:29,119,127,false,false,8
08-1003,ajrotc,5:55,140,148,false,false,8
08-2117,afjrotc,5:25,135,143,false,false,8
08-2170,afjrotc,4:58,125,133,false,false,8
08-0500,afjrotc,5:39,155,163,false,false,8
08-0287,mcjrotc,6:00,24,32,false,false,8
08-3122,ajrotc,6:07,155,163,false,true,8
08-0442,njrotc,5:00,171,179,false,false,8
08-2761,afjrotc,5:32,102,110,false,false,8
08-0524,cap,5:57,134,142,false,false,8
08-3421,afjrotc,5:39,128,136,false,false,8
08-1823,mcjrotc,4:15,153,161,false,false,8
08-2754,cap,4:37,111,119,false,false,8
08-1750,afjrotc,4:54,98,106,false,false,8
08-0441,njrotc,5:42,177,185,false,false,8
08-2558,afjrotc,5:48,52,60,false,false,8
08-1198,cap,5:51,103,111,false,false,8
08-2284,njrotc,4:16,90,103,false,false,13
08-0528,afjrotc,4:46,148,156,false,false,8
08-1430,ajrotc,2:27,92,100,false,false,8
08-1845,njrotc,4:13,109,117,false,false,8
08-0219,cap,6:03,155,163,false,true,8
08-2177,afjrotc,4:37,98,106,false,false,8
08-0380,afjrotc,5:57,85,93,false,false,8
08-2300,njrotc,3:41,98,106,false,false,8
08-1765,ajrotc,4:32,111,119,false,false,8
08-0675,afjrotc,5:33,133,141,false,false,8
08-0935,afjrotc,3:57,99,107,false,false,8
08-2296,njrotc,4:35,82,90,false,false,8
08-3330,cap,5:51,90,98,false,false,8
08-0229,njrotc,4:31,113,121,false,false,8
08-2297,njrotc,4:18,80,88,false,false,8
08-2281,ajrotc,4:58,110,118,false,false,8
08-2280,ajrotc,5:05,153,161,false,false,8
08-0230,njrotc,4:24,115,123,false,false,8
08-0228,njrotc,4:22,87,95,false,false,8
08-2838,ajrotc,5:36,106,114,false,false,8
08-2836,ajrotc,5:23,63,71,false,false,8
08-1336,ajrotc,2:46,93,101,false,false,8
08-2255,ajrotc,5:59,159,167,false,false,8
08-2408,ajrotc,5:55,137,145,false,false,8
08-1381,afjrotc,5:59,114,122,false,false,8
08-2983,afjrotc,2:21,93,101,false,false,8
08-1476,ajrotc,5:31,85,93,false,false,8
08-2409,ajrotc,5:44,145,153,false,false,8
08-2137,ajrotc,5:09,105,113,false,false,8
08-0998,ajrotc,5:15,98,106,false,false,8
08-2657,mcjrotc,4:26,83,91,false,false,8
08-0460,afjrotc,6:49,84,87,false,true,3
08-0356,afjrotc,5:16,79,87,false,false,8
08-1465,ajrotc,5:16,142,150,false,false,8
08-0459,afjrotc,6:03,117,125,false,true,8
08-1477,ajrotc,5:08,52,60,false,false,8
08-0575,ajrotc,5:47,173,181,false,false,8
08-0580,ajrotc,5:46,162,170,false,false,8
08-0436,cap,5:59,186,194,false,false,8
08-2535,afjrotc,5:36,129,137,false,false,8
08-3243,cap,25:18,149,157,false,true,8
08-1677,njrotc,3:39,133,141,false,false,8
08-1676,njrotc,3:43,141,149,false,false,8
08-0434,mcjrotc,4:53,186,194,false,false,8
08-1567,ajrotc,6:01,108,116,false,true,8
08-2947,njrotc,3:03,93,101,false,false,8
08-2924,cap,5:55,152,160,false,false,8
08-3390,afjrotc,1:48,68,76,false,false,8
08-2373,afjrotc,8:00,0,8,false,true,8
08-1696,njrotc,4:39,159,141,false,false,-18
08-1447,njrotc,3:44,34,42,false,false,8
08-1695,njrotc,4:37,133,167,false,false,34
08-1127,cap,6:01,42,50,false,true,8
08-0379,njrotc,2:00,50,58,false,false,8
08-0713,cap,5:56,162,119,false,false,-43
08-1699,mcjrotc,5:46,147,160,false,false,13
08-2778,cap,2:43,121,129,false,false,8
08-1144,cap,5:10,139,147,false,false,8
08-2770,afjrotc,5:31,159,167,false,false,8
08-0525,cap,2:44,115,123,false,false,8
08-0576,afjrotc,3:23,70,78,false,false,8
08-2421,cap,5:50,159,167,false,false,8
08-0538,njrotc,5:51,186,194,false,false,8
08-0231,cap,5:51,99,107,false,false,8
08-2319,njrotc,2:26,142,150,false,false,8
08-2762,afjrotc,5:11,105,113,false,false,8
08-0369,cap,4:57,68,76,false,false,8
08-0194,afjrotc,5:13,65,73,false,false,8
08-0106,afjrotc,5:13,102,115,false,false,13
08-0670,afjrotc,5:55,159,167,false,false,8
08-2804,afjrotc,5:06,78,86,false,false,8
08-0466,cap,13:32,91,99,false,true,8
08-1446,njrotc,43:04,88,96,false,true,8
08-2764,afjrotc,4:51,85,93,false,false,8
08-0476,mcjrotc,5:45,138,146,false,false,8
08-0698,mcjrotc,5:40,133,141,false,false,8
08-3009,njrotc,5:46,108,116,false,false,8
08-3008,njrotc,5:39,144,152,false,false,8
08-2656,afjrotc,3:43,84,92,false,false,8
08-0173,afjrotc,4:44,62,70,false,false,8
08-2025,ajrotc,2:41,89,97,false,false,8
08-2024,ajrotc,2:36,89,97,false,false,8
08-2194,afjrotc,4:11,171,179,false,false,8
08-0464,afjrotc,4:25,166,174,false,false,8
08-3316,afjrotc,5:16,119,127,false,false,8
08-1964,mcjrotc,4:31,40,53,false,false,13
08-2121,afjrotc,5:44,168,176,true,false,8
08-2415,afjrotc,3:49,86,94,false,false,8
08-3384,ajrotc,5:44,132,140,false,false,8
08-2218,mcjrotc,4:53,179,187,false,false,8
08-1136,cap,6:02,149,157,false,true,8
08-1249,ajrotc,6:34,106,114,false,true,8
08-2259,njrotc,5:51,172,180,false,false,8
08-2757,njrotc,5:47,162,170,false,false,8
08-1792,njrotc,5:46,172,180,false,false,8
08-1584,ajrotc,4:30,182,190,false,false,8
08-0957,cap,7:43,48,40,false,true,-8
08-1927,afjrotc,5:48,163,171,false,false,8
08-1152,njrotc,5:39,172,180,false,false,8
08-3187,ajrotc,5:56,95,103,false,false,8
08-3148,mcjrotc,5:35,143,151,false,false,8
08-3006,mcjrotc,5:48,128,136,false,false,8
08-3005,mcjrotc,5:47,131,139,false,false,8
08-3003,mcjrotc,5:49,126,134,false,false,8
08-3004,mcjrotc,5:43,121,129,false,false,8
08-2590,mcjrotc,5:52,94,102,false,false,8
08-0718,cap,5:37,113,121,false,false,8
08-1302,afjrotc,5:59,181,189,false,false,8
08-1462,mcjrotc,4:01,164,172,false,false,8
08-2640,mcjrotc,4:54,86,94,false,false,8
08-0639,cap,5:57,149,157,false,false,8
08-1293,njrotc,4:41,27,35,false,false,8
08-1291,afjrotc,5:50,133,141,false,false,8
08-1217,njrotc,6:03,152,160,false,true,8
08-3091,cap,5:51,96,104,false,false,8
08-1290,afjrotc,5:54,164,172,false,false,8
08-0736,cap,4:23,47,55,false,false,8
08-1148,cap,5:57,187,195,false,false,8
08-0120,cap,5:54,157,165,false,false,8
08-1214,njrotc,6:03,152,160,false,true,8
08-1015,afjrotc,5:55,175,183,false,false,8
08-2600,cap,6:09,118,126,false,true,8
08-0076,cap,5:51,168,176,false,false,8
08-2598,cap,6:00,83,91,false,false,8
08-0077,afjrotc,5:44,102,110,false,false,8
08-0007,cap,5:58,136,144,false,false,8
08-2599,cap,6:14,140,148,false,true,8
08-1974,cap,6:09,140,148,false,true,8
08-1809,mcjrotc,5:01,106,119,true,false,13
08-1808,mcjrotc,4:51,132,140,false,false,8
08-2504,njrotc,5:43,138,146,false,false,8
08-0708,cap,6:33,123,131,false,true,8
08-3345,afjrotc,5:43,110,118,false,false,8
08-0223,cap,4:33,160,168,false,false,8
08-2601,cap,6:00,98,111,false,false,13
08-2797,afjrotc,4:57,138,146,false,false,8
08-1402,afjrotc,5:57,82,90,false,false,8
08-0079,afjrotc,5:44,112,120,false,false,8
08-1943,afjrotc,5:35,168,176,false,false,8
08-1980,cap,6:03,118,126,false,true,8
08-2473,afjrotc,5:21,91,99,false,false,8
